"grupp" "langd"
"1" "Gr1" 173
"2" "Gr1" 181
"3" "Gr1" 180
"4" "Gr1" 172
"5" "Gr1" 174
"6" "Gr1" 175
"7" "Gr1" 177
"8" "Gr1" 173
"9" "Gr1" 177
"10" "Gr1" 173
"11" "Gr1" 178
"12" "Gr1" 176
"13" "Gr1" 176
"14" "Gr1" 173
"15" "Gr1" 182
"16" "Gr1" 174
"17" "Gr1" 174
"18" "Gr1" 180
"19" "Gr1" 182
"20" "Gr1" 176
"21" "Gr1" 173
"22" "Gr1" 176
"23" "Gr1" 174
"24" "Gr1" 178
"25" "Gr1" 175
"26" "Gr1" 176
"27" "Gr1" 181
"28" "Gr1" 183
"29" "Gr1" 178
"30" "Gr1" 174
"31" "Gr1" 178
"32" "Gr1" 178
"33" "Gr1" 175
"34" "Gr1" 188
"35" "Gr1" 175
"36" "Gr1" 176
"37" "Gr1" 178
"38" "Gr1" 176
"39" "Gr1" 176
"40" "Gr1" 178
"41" "Gr1" 173
"42" "Gr1" 163
"43" "Gr1" 169
"44" "Gr1" 179
"45" "Gr1" 171
"46" "Gr1" 178
"47" "Gr1" 176
"48" "Gr1" 173
"49" "Gr1" 172
"50" "Gr1" 176
"51" "Gr1" 174
"52" "Gr1" 169
"53" "Gr1" 177
"54" "Gr1" 172
"55" "Gr1" 174
"56" "Gr1" 177
"57" "Gr1" 176
"58" "Gr1" 169
"59" "Gr1" 166
"60" "Gr1" 176
"61" "Gr1" 175
"62" "Gr1" 172
"63" "Gr1" 168
"64" "Gr1" 171
"65" "Gr1" 185
"66" "Gr1" 167
"67" "Gr1" 172
"68" "Gr1" 177
"69" "Gr1" 168
"70" "Gr1" 179
"71" "Gr1" 178
"72" "Gr1" 174
"73" "Gr1" 173
"74" "Gr1" 171
"75" "Gr1" 180
"76" "Gr1" 179
"77" "Gr1" 174
"78" "Gr1" 172
"79" "Gr1" 173
"80" "Gr1" 169
"81" "Gr1" 177
"82" "Gr1" 180
"83" "Gr1" 180
"84" "Gr1" 177
"85" "Gr1" 171
"86" "Gr1" 174
"87" "Gr1" 177
"88" "Gr1" 181
"89" "Gr1" 175
"90" "Gr1" 175
"91" "Gr1" 173
"92" "Gr1" 179
"93" "Gr1" 166
"94" "Gr1" 177
"95" "Gr1" 174
"96" "Gr1" 173
"97" "Gr1" 180
"98" "Gr1" 177
"99" "Gr1" 175
"100" "Gr1" 175
"101" "Gr1" 176
"102" "Gr1" 180
"103" "Gr1" 177
"104" "Gr1" 177
"105" "Gr1" 180
"106" "Gr1" 177
"107" "Gr1" 167
"108" "Gr1" 179
"109" "Gr1" 174
"110" "Gr1" 172
"111" "Gr1" 175
"112" "Gr1" 173
"113" "Gr1" 179
"114" "Gr1" 173
"115" "Gr1" 174
"116" "Gr1" 175
"117" "Gr1" 174
"118" "Gr1" 179
"119" "Gr1" 175
"120" "Gr1" 171
"121" "Gr1" 175
"122" "Gr1" 176
"123" "Gr1" 174
"124" "Gr1" 178
"125" "Gr1" 166
"126" "Gr1" 177
"127" "Gr1" 170
"128" "Gr1" 181
"129" "Gr1" 171
"130" "Gr1" 166
"131" "Gr1" 178
"132" "Gr1" 170
"133" "Gr1" 176
"134" "Gr1" 182
"135" "Gr1" 176
"136" "Gr1" 170
"137" "Gr1" 177
"138" "Gr1" 170
"139" "Gr1" 181
"140" "Gr1" 175
"141" "Gr1" 170
"142" "Gr1" 177
"143" "Gr1" 178
"144" "Gr1" 172
"145" "Gr1" 175
"146" "Gr1" 179
"147" "Gr1" 180
"148" "Gr1" 179
"149" "Gr1" 178
"150" "Gr1" 173
"151" "Gr1" 175
"152" "Gr1" 167
"153" "Gr1" 184
"154" "Gr1" 184
"155" "Gr1" 184
"156" "Gr1" 172
"157" "Gr1" 182
"158" "Gr1" 168
"159" "Gr1" 168
"160" "Gr1" 177
"161" "Gr1" 180
"162" "Gr1" 180
"163" "Gr1" 183
"164" "Gr1" 168
"165" "Gr1" 177
"166" "Gr1" 173
"167" "Gr1" 173
"168" "Gr1" 174
"169" "Gr1" 177
"170" "Gr1" 181
"171" "Gr1" 177
"172" "Gr1" 172
"173" "Gr1" 182
"174" "Gr1" 175
"175" "Gr1" 177
"176" "Gr1" 167
"177" "Gr1" 173
"178" "Gr1" 174
"179" "Gr1" 177
"180" "Gr1" 178
"181" "Gr1" 182
"182" "Gr1" 179
"183" "Gr1" 174
"184" "Gr1" 176
"185" "Gr1" 181
"186" "Gr1" 179
"187" "Gr1" 174
"188" "Gr1" 173
"189" "Gr1" 178
"190" "Gr1" 171
"191" "Gr1" 180
"192" "Gr1" 174
"193" "Gr1" 185
"194" "Gr1" 175
"195" "Gr1" 178
"196" "Gr1" 182
"197" "Gr1" 187
"198" "Gr1" 184
"199" "Gr1" 171
"200" "Gr1" 171
"201" "Gr1" 175
"202" "Gr1" 173
"203" "Gr1" 169
"204" "Gr1" 176
"205" "Gr1" 176
"206" "Gr1" 176
"207" "Gr1" 175
"208" "Gr1" 176
"209" "Gr1" 169
"210" "Gr1" 180
"211" "Gr1" 178
"212" "Gr1" 182
"213" "Gr1" 176
"214" "Gr1" 175
"215" "Gr1" 176
"216" "Gr1" 179
"217" "Gr1" 182
"218" "Gr1" 178
"219" "Gr1" 177
"220" "Gr1" 173
"221" "Gr1" 179
"222" "Gr1" 169
"223" "Gr1" 177
"224" "Gr1" 170
"225" "Gr1" 175
"226" "Gr1" 173
"227" "Gr1" 176
"228" "Gr1" 179
"229" "Gr1" 178
"230" "Gr1" 179
"231" "Gr1" 177
"232" "Gr1" 175
"233" "Gr1" 170
"234" "Gr1" 173
"235" "Gr1" 172
"236" "Gr1" 170
"237" "Gr1" 175
"238" "Gr1" 175
"239" "Gr1" 175
"240" "Gr1" 172
"241" "Gr1" 177
"242" "Gr1" 171
"243" "Gr1" 179
"244" "Gr1" 176
"245" "Gr1" 168
"246" "Gr1" 175
"247" "Gr1" 186
"248" "Gr1" 176
"249" "Gr1" 181
"250" "Gr1" 180
"251" "Gr1" 178
"252" "Gr1" 172
"253" "Gr1" 178
"254" "Gr1" 177
"255" "Gr1" 171
"256" "Gr1" 174
"257" "Gr1" 171
"258" "Gr1" 164
"259" "Gr1" 178
"260" "Gr1" 178
"261" "Gr1" 179
"262" "Gr1" 177
"263" "Gr1" 178
"264" "Gr1" 179
"265" "Gr1" 173
"266" "Gr1" 175
"267" "Gr1" 170
"268" "Gr1" 180
"269" "Gr1" 174
"270" "Gr1" 178
"271" "Gr1" 175
"272" "Gr1" 177
"273" "Gr1" 172
"274" "Gr1" 170
"275" "Gr1" 179
"276" "Gr1" 170
"277" "Gr1" 176
"278" "Gr1" 175
"279" "Gr1" 179
"280" "Gr1" 179
"281" "Gr1" 174
"282" "Gr1" 181
"283" "Gr1" 178
"284" "Gr1" 166
"285" "Gr1" 176
"286" "Gr1" 179
"287" "Gr1" 176
"288" "Gr1" 167
"289" "Gr1" 179
"290" "Gr1" 178
"291" "Gr1" 179
"292" "Gr1" 178
"293" "Gr1" 177
"294" "Gr1" 173
"295" "Gr1" 178
"296" "Gr1" 171
"297" "Gr1" 172
"298" "Gr1" 173
"299" "Gr1" 172
"300" "Gr1" 173
"301" "Gr1" 175
"302" "Gr1" 175
"303" "Gr1" 179
"304" "Gr1" 171
"305" "Gr1" 169
"306" "Gr1" 176
"307" "Gr1" 179
"308" "Gr1" 178
"309" "Gr1" 170
"310" "Gr1" 175
"311" "Gr1" 175
"312" "Gr1" 174
"313" "Gr1" 171
"314" "Gr1" 176
"315" "Gr1" 175
"316" "Gr1" 176
